sausage;root vegetables;onions;yogurt;rolls/buns
coffee;newspapers;;;
pork;other vegetables;whipped/sour cream;;
berries;yogurt;;;
soda;;;;
berries;;;;
fruit/vegetable juice;salty snack;candles;;
citrus fruit;butter milk;yogurt;cream cheese ;
pork;hamburger meat;citrus fruit;berries;onions
detergent;;;;
grapes;photo/film;;;
sausage;sliced cheese;rolls/buns;brown bread;fruit/vegetable juice
chicken;hamburger meat;citrus fruit;tropical fruit;root vegetables
whole milk;yogurt;brown bread;;
citrus fruit;tropical fruit;;;
soda;misc. beverages;;;
sausage;pork;grapes;whole milk;rolls/buns
frankfurter;rolls/buns;bottled water;;
sausage;whole milk;yogurt;coffee;fruit/vegetable juice
soda;;;;
rolls/buns;fruit/vegetable juice;;;
beef;citrus fruit;berries;root vegetables;brown bread
whole milk;whipped/sour cream;rolls/buns;soda;waffles
processed cheese;;;;
tropical fruit;pip fruit;;;
frankfurter;sausage;root vegetables;other vegetables;rolls/buns
packaged fruit/vegetables;bottled water;;;
whole milk;dessert;frozen vegetables;rolls/buns;margarine
berries;whipped/sour cream;;;
citrus fruit;berries;UHT-milk;processed cheese;
tropical fruit;whole milk;yogurt;;
hamburger meat;whole milk;frozen vegetables;rolls/buns;bottled beer
hamburger meat;other vegetables;whole milk;frozen vegetables;domestic eggs
whole milk;cream cheese ;soda;;
fish;other vegetables;pastry;margarine;coffee
frankfurter;sausage;long life bakery product;waffles;
packaged fruit/vegetables;dessert;semi-finished bread;canned beer;
pastry;soda;;;
other vegetables;red/blush wine;;;
misc. beverages;;;;
frankfurter;sausage;citrus fruit;tropical fruit;pip fruit
sparkling wine;;;;
specialty bar;;;;
sausage;butter milk;rolls/buns;;
curd cheese;;;;
frankfurter;dessert;;;
whole milk;yogurt;beverages;brown bread;shopping bags
newspapers;;;;
berries;soda;;;
curd;flour;liquor (appetizer);;
tropical fruit;other vegetables;coffee;;
soda;;;;
rolls/buns;Instant food products;;;
canned beer;;;;
canned beer;;;;
frankfurter;sausage;whole milk;rolls/buns;margarine
other vegetables;misc. beverages;canned beer;;
whole milk;frozen vegetables;;;
whole milk;;;;
citrus fruit;butter;cream cheese ;white bread;oil
frankfurter;rolls/buns;;;
frankfurter;ham;pip fruit;other vegetables;whole milk
butter milk;yogurt;honey;soda;detergent
hamburger meat;citrus fruit;onions;rolls/buns;bottled water
pasta;popcorn;;;
other vegetables;whole milk;meat spreads;cake bar;chocolate
sausage;pork;citrus fruit;dessert;white bread
rolls/buns;;;;
grapes;other vegetables;curd;dessert;yogurt
root vegetables;other vegetables;whole milk;yogurt;beverages
coffee;shopping bags;;;
popcorn;;;;
whole milk;rolls/buns;sugar;bottled water;soda
tropical fruit;other vegetables;packaged fruit/vegetables;whole milk;snack products
beef;herbs;flour;cling film/bags;flower soil/fertilizer
whole milk;butter;dessert;rolls/buns;
frankfurter;soda;chewing gum;;
tropical fruit;specialty cheese;bottled water;;
canned beer;;;;
finished products;other vegetables;frozen vegetables;bottled beer;
beverages;soda;;;
hamburger meat;root vegetables;whole milk;;
whole milk;pastry;long life bakery product;;
finished products;white wine;shopping bags;;
other vegetables;;;;
ham;tropical fruit;other vegetables;whole milk;white bread
other vegetables;;;;
curd;butter milk;cocoa drinks;salty snack;popcorn
bottled beer;;;;
curd;dessert;soda;salty snack;waffles
whole milk;cream cheese ;cereals;dog food;
whole milk;salt;;;
dessert;ice cream;;;
sausage;soft cheese;coffee;;
other vegetables;bottled water;waffles;dishes;shopping bags
ham;whole milk;rolls/buns;;
other vegetables;ice cream;;;
other vegetables;bottled water;;;
soda;bottled beer;white wine;prosecco;
herbs;candy;;;
frankfurter;ham;tropical fruit;pip fruit;root vegetables
rolls/buns;canned beer;;;
curd;cream cheese ;semi-finished bread;zwieback;cake bar
frankfurter;tropical fruit;whole milk;spread cheese;margarine
other vegetables;;;;
dog food;;;;
specialty bar;;;;
curd;salt;liquor (appetizer);detergent;shopping bags
frankfurter;rolls/buns;;;
soda;;;;
beef;berries;root vegetables;whole milk;dessert
canned beer;;;;
pork;beef;pip fruit;herbs;spices
frankfurter;citrus fruit;UHT-milk;margarine;sugar
sausage;bottled beer;liquor (appetizer);;
canned beer;;;;
specialty chocolate;;;;
curd;rolls/buns;;;
canned beer;;;;
whole milk;bottled water;newspapers;;
rolls/buns;chewing gum;;;
pork;root vegetables;other vegetables;whole milk;dishes
citrus fruit;pastry;;;
pot plants;;;;
rolls/buns;pastry;soda;;
butter;yogurt;bottled water;soda;make up remover
condensed milk;sugar;coffee;shopping bags;
sausage;other vegetables;yogurt;soda;shopping bags
whole milk;beverages;UHT-milk;soda;
sausage;pork;beef;whole milk;rolls/buns
beverages;;;;
beverages;specialty bar;;;
bottled water;fruit/vegetable juice;;;
newspapers;;;;
cleaner;female sanitary products;;;
sausage;soda;newspapers;shopping bags;
newspapers;;;;
sausage;beef;citrus fruit;other vegetables;whole milk
misc. beverages;newspapers;;;
white wine;;;;
sausage;sliced cheese;rolls/buns;soda;canned beer
meat;curd;bottled beer;cake bar;
frankfurter;meat;tropical fruit;onions;oil
ice cream;rolls/buns;canned beer;;
canned beer;;;;
tropical fruit;berries;root vegetables;other vegetables;bottled water
meat;citrus fruit;other vegetables;curd;dessert
whole milk;mustard;bottled water;;
sausage;beef;beverages;sliced cheese;rolls/buns
frankfurter;sausage;root vegetables;butter;curd
meat;other vegetables;butter;rolls/buns;
root vegetables;beverages;Instant food products;pickled vegetables;detergent
root vegetables;herbs;other vegetables;whole milk;sliced cheese
whole milk;whipped/sour cream;semi-finished bread;margarine;
citrus fruit;whole milk;curd;dessert;yogurt
citrus fruit;curd;pastry;margarine;sugar
other vegetables;whole milk;bottled water;soda;misc. beverages
citrus fruit;whole milk;rolls/buns;;
sausage;oil;hygiene articles;napkins;
frankfurter;beef;hamburger meat;grapes;root vegetables
hard cheese;rolls/buns;bottled water;newspapers;
cream cheese ;rolls/buns;soda;chocolate;
turkey;beef;frozen vegetables;dishes;photo/film
pork;other vegetables;whipped/sour cream;rolls/buns;soda
whole milk;beverages;;;
rolls/buns;soda;;;
sausage;pip fruit;whole milk;curd;yogurt
ice cream;;;;
liquor;;;;
pip fruit;other vegetables;fruit/vegetable juice;;
root vegetables;other vegetables;yogurt;;
soda;;;;
soda;;;;
sausage;citrus fruit;tropical fruit;other vegetables;whole milk
root vegetables;whole milk;pet care;detergent;
pork;berries;root vegetables;other vegetables;pastry
pork;;;;
chocolate;;;;
fruit/vegetable juice;;;;
pickled vegetables;coffee;;;
bottled water;;;;
frankfurter;sausage;butter;whipped/sour cream;rolls/buns
tropical fruit;pip fruit;onions;other vegetables;whole milk
canned beer;;;;
root vegetables;;;;
meat;citrus fruit;berries;root vegetables;whole milk
frankfurter;rolls/buns;bottled water;fruit/vegetable juice;hygiene articles
tropical fruit;margarine;rum;;
tropical fruit;root vegetables;herbs;whole milk;butter milk
citrus fruit;pip fruit;root vegetables;other vegetables;whole milk
hamburger meat;other vegetables;whole milk;curd;yogurt
chicken;pip fruit;other vegetables;whole milk;dessert
chicken;citrus fruit;tropical fruit;root vegetables;whole milk
frankfurter;citrus fruit;onions;other vegetables;whole milk
canned beer;;;;
turkey;pip fruit;salad dressing;pastry;
packaged fruit/vegetables;whole milk;curd;yogurt;domestic eggs
pasta;;;;
citrus fruit;tropical fruit;;;
sausage;whole milk;yogurt;rolls/buns;brown bread
whole milk;frozen meals;pastry;fruit/vegetable juice;waffles
canned beer;;;;
citrus fruit;sugar;sauces;;
liquor (appetizer);;;;
citrus fruit;other vegetables;rolls/buns;salty snack;shopping bags
sausage;;;;
chicken;other vegetables;whole milk;vinegar;oil
hamburger meat;root vegetables;other vegetables;whole milk;yogurt
sausage;pork;other vegetables;dessert;yogurt
beef;berries;root vegetables;whole milk;whipped/sour cream
citrus fruit;packaged fruit/vegetables;yogurt;bottled water;
UHT-milk;coffee;;;
candy;;;;
newspapers;;;;
beef;citrus fruit;other vegetables;yogurt;
sausage;rolls/buns;;;
frankfurter;beef;root vegetables;curd;dessert
canned beer;;;;
bottled beer;;;;
onions;soda;chewing gum;chocolate;newspapers
tropical fruit;packaged fruit/vegetables;cream cheese ;white bread;candy
bottled water;white wine;;;
beef;white bread;pastry;pasta;soap
sausage;chicken;tropical fruit;root vegetables;whole milk
hair spray;;;;
chicken;whole milk;spices;long life bakery product;shopping bags
pork;citrus fruit;brown bread;pastry;sugar
ice cream;;;;
meat;hard cheese;bottled beer;;
other vegetables;yogurt;brown bread;instant coffee;
bottled water;cake bar;;;
tropical fruit;soda;salty snack;;
photo/film;;;;
sausage;citrus fruit;yogurt;coffee;soda
grapes;root vegetables;;;
domestic eggs;brown bread;photo/film;;
rolls/buns;canned fish;canned beer;;
tropical fruit;whole milk;;;
chicken;;;;
frankfurter;other vegetables;yogurt;brown bread;bottled water
berries;root vegetables;other vegetables;curd;butter milk
margarine;hygiene articles;;;
tropical fruit;yogurt;rolls/buns;soda;shopping bags
ham;other vegetables;whipped/sour cream;hard cheese;rolls/buns
hamburger meat;white bread;salty snack;;
yogurt;mayonnaise;rolls/buns;soda;napkins
soda;specialty chocolate;;;
yogurt;;;;
soda;;;;
bottled water;;;;
sausage;meat;hamburger meat;rubbing alcohol;
citrus fruit;pip fruit;beverages;hard cheese;pet care
shopping bags;;;;
newspapers;;;;
frankfurter;other vegetables;whole milk;curd;frozen potato products
sausage;citrus fruit;whole milk;canned beer;
frankfurter;rolls/buns;;;
salt;salty snack;cookware;;
oil;;;;
curd;beverages;cream cheese ;rolls/buns;pastry
other vegetables;butter;specialty chocolate;;
citrus fruit;;;;
frankfurter;whole milk;butter milk;;
root vegetables;whole milk;butter;processed cheese;mayonnaise
tropical fruit;whole milk;frozen meals;bottled beer;
beef;hamburger meat;pip fruit;;
berries;whipped/sour cream;cereals;waffles;shopping bags
canned beer;;;;
whipped/sour cream;canned beer;red/blush wine;;
root vegetables;domestic eggs;margarine;chocolate marshmallow;candy
whole milk;soda;;;
beef;;;;
frozen vegetables;;;;
rolls/buns;bottled beer;;;
whole milk;hygiene articles;;;
whole milk;;;;
citrus fruit;whole milk;curd;soft cheese;
pastry;fruit/vegetable juice;;;
frankfurter;sausage;pork;pip fruit;butter
tropical fruit;root vegetables;whole milk;whipped/sour cream;domestic eggs
frankfurter;sausage;root vegetables;yogurt;whipped/sour cream
berries;root vegetables;other vegetables;packaged fruit/vegetables;whole milk
rolls/buns;brown bread;pastry;coffee;bottled beer
root vegetables;packaged fruit/vegetables;curd;dessert;frozen vegetables
yogurt;;;;
other vegetables;bottled water;;;
berries;white bread;;;
berries;coffee;;;
other vegetables;butter milk;frozen meals;bottled water;
rolls/buns;newspapers;;;
ham;citrus fruit;whole milk;whipped/sour cream;rolls/buns
whole milk;frozen dessert;salty snack;napkins;
tropical fruit;butter milk;rolls/buns;bottled water;
bottled water;;;;
butter milk;yogurt;;;
newspapers;;;;
coffee;;;;
bottled beer;liquor;;;
onions;butter;whipped/sour cream;hard cheese;frozen vegetables
hamburger meat;hard cheese;frozen meals;pasta;dog food
sausage;liver loaf;other vegetables;cream cheese ;pastry
hard cheese;pastry;napkins;;
sausage;tropical fruit;condensed milk;rolls/buns;
hamburger meat;;;;
onions;whole milk;beverages;frozen dessert;
coffee;;;;
shopping bags;;;;
yogurt;rolls/buns;pastry;bottled water;soda
soda;;;;
sliced cheese;;;;
sausage;whole milk;coffee;;
yogurt;chocolate;;;
domestic eggs;rolls/buns;dish cleaner;hygiene articles;
whole milk;;;;
meat;other vegetables;whole milk;whipped/sour cream;
dish cleaner;bathroom cleaner;hygiene articles;napkins;
other vegetables;red/blush wine;;;
whole milk;butter milk;yogurt;sliced cheese;rolls/buns
other vegetables;whole milk;rolls/buns;Instant food products;
tropical fruit;other vegetables;;;
baking powder;bottled water;salty snack;chewing gum;
specialty bar;;;;
ice cream;;;;
frankfurter;yogurt;;;
canned beer;;;;
bottled water;;;;
other vegetables;whole milk;rolls/buns;margarine;bottled water
citrus fruit;tropical fruit;onions;other vegetables;shopping bags
sausage;ham;hamburger meat;whole milk;soda
domestic eggs;rolls/buns;specialty bar;napkins;
pork;citrus fruit;tropical fruit;root vegetables;other vegetables
specialty cheese;frozen vegetables;coffee;soda;fruit/vegetable juice
pork;citrus fruit;pip fruit;yogurt;fruit/vegetable juice
beef;berries;whipped/sour cream;domestic eggs;rolls/buns
other vegetables;pet care;;;
chicken;yogurt;sliced cheese;rolls/buns;chewing gum
soda;chewing gum;;;
whole milk;;;;
rolls/buns;;;;
bottled beer;;;;
root vegetables;pastry;bottled water;male cosmetics;
pastry;;;;
berries;pet care;cake bar;shopping bags;
citrus fruit;tropical fruit;root vegetables;yogurt;canned vegetables
whole milk;oil;canned fruit;fruit/vegetable juice;
soda;misc. beverages;;;
bottled water;soda;;;
tropical fruit;other vegetables;rolls/buns;;
salty snack;;;;
bottled water;canned beer;;;
chocolate;;;;
citrus fruit;UHT-milk;cream cheese ;frozen vegetables;
bottled water;canned beer;male cosmetics;;
onions;other vegetables;pastry;bottled water;soda
dessert;oil;cat food;soda;
beef;other vegetables;whole milk;frozen potato products;rolls/buns
rolls/buns;zwieback;bottled water;misc. beverages;bottled beer
beef;tropical fruit;root vegetables;onions;other vegetables
soda;;;;
coffee;hygiene articles;;;
rolls/buns;brown bread;bottled water;;
pork;beef;hamburger meat;other vegetables;whole milk
soda;canned beer;liquor (appetizer);hygiene articles;napkins
sausage;ham;other vegetables;ice cream;white bread
beef;root vegetables;other vegetables;rolls/buns;sugar
whole milk;butter;bottled water;bottled beer;
pork;ice cream;hygiene articles;house keeping products;
berries;packaged fruit/vegetables;whole milk;ice cream;fruit/vegetable juice
sausage;other vegetables;curd;yogurt;whipped/sour cream
bottled water;misc. beverages;cling film/bags;;
tropical fruit;other vegetables;packaged fruit/vegetables;whole milk;hard cheese
herbs;bottled water;;;
yogurt;rolls/buns;;;
Instant food products;;;;
specialty chocolate;;;;
coffee;;;;
bottled beer;liquor;;;
beef;root vegetables;;;
whole milk;honey;waffles;;
frankfurter;rolls/buns;pastry;snack products;specialty bar
frankfurter;sausage;liver loaf;root vegetables;curd
other vegetables;whole milk;cream cheese ;;
frankfurter;root vegetables;pickled vegetables;soda;seasonal products
whole milk;rolls/buns;newspapers;;
frankfurter;margarine;dental care;;
other vegetables;salty snack;;;
bottled water;shopping bags;;;
pork;onions;whole milk;butter;rolls/buns
bottled water;;;;
other vegetables;whipped/sour cream;specialty cheese;domestic eggs;
hamburger meat;whole milk;curd;pasta;canned beer
hamburger meat;citrus fruit;other vegetables;;
shopping bags;;;;
whole milk;cream cheese ;soda;fruit/vegetable juice;
ice cream;;;;
pastry;bottled water;;;
ham;pip fruit;whole milk;curd;dessert
frankfurter;soda;;;
sausage;turkey;beef;root vegetables;domestic eggs
bottled beer;;;;
bottled water;bottled beer;napkins;;
meat;other vegetables;hard cheese;frozen meals;bottled water
dessert;candy;;;
other vegetables;packaged fruit/vegetables;UHT-milk;bottled water;
beverages;rolls/buns;soda;;
ham;mustard;canned fish;;
specialty bar;;;;
brown bread;soda;salty snack;shopping bags;
whole milk;cream cheese ;coffee;;
rolls/buns;pastry;red/blush wine;;
bottled beer;nut snack;;;
pet care;bottled beer;;;
citrus fruit;other vegetables;soda;;
pork;other vegetables;frozen vegetables;hygiene articles;
other vegetables;shopping bags;;;
white wine;detergent;;;
whole milk;dessert;bottled water;;
pip fruit;white wine;shopping bags;;
sugar;soda;bottled beer;;
tropical fruit;pip fruit;rolls/buns;coffee;fruit/vegetable juice
root vegetables;cream cheese ;spread cheese;frozen dessert;white bread
soda;misc. beverages;;;
whole milk;curd;;;
tropical fruit;other vegetables;yogurt;bottled water;male cosmetics
white bread;brown bread;;;
brown bread;sugar;hygiene articles;;
tropical fruit;root vegetables;coffee;bottled water;red/blush wine
domestic eggs;;;;
coffee;detergent;hygiene articles;photo/film;
soda;;;;
whole milk;;;;
bottled beer;;;;
pork;beef;berries;packaged fruit/vegetables;whole milk
other vegetables;yogurt;;;
yogurt;bottled water;dishes;;
sparkling wine;;;;
bottled water;candy;;;
citrus fruit;berries;other vegetables;butter milk;sugar
hamburger meat;root vegetables;other vegetables;whole milk;rolls/buns
packaged fruit/vegetables;seasonal products;;;
other vegetables;margarine;;;
soda;;;;
whole milk;yogurt;frozen potato products;margarine;bottled water
herbs;yogurt;;;
citrus fruit;spread cheese;rolls/buns;soda;
misc. beverages;;;;
female sanitary products;;;;
soda;;;;
tropical fruit;whole milk;beverages;white bread;pasta
soda;female sanitary products;;;
white bread;bottled water;soda;waffles;
coffee;chewing gum;chocolate marshmallow;;
tropical fruit;root vegetables;whole milk;frozen vegetables;honey
pork;pip fruit;whole milk;butter milk;
citrus fruit;bottled water;;;
frankfurter;;;;
frankfurter;rolls/buns;;;
frankfurter;tropical fruit;pip fruit;curd;UHT-milk
other vegetables;;;;
yogurt;fruit/vegetable juice;newspapers;;
sausage;whole milk;yogurt;brown bread;cereals
whole milk;;;;
pip fruit;whole milk;curd;pastry;bottled water
whole milk;;;;
root vegetables;other vegetables;;;
onions;fruit/vegetable juice;;;
specialty chocolate;;;;
hamburger meat;domestic eggs;;;
photo/film;;;;
rolls/buns;soda;snack products;newspapers;
canned beer;;;;
canned beer;;;;
other vegetables;curd;frozen meals;frozen potato products;soda
canned beer;;;;
curd;whipped/sour cream;rolls/buns;zwieback;spices
butter;fruit/vegetable juice;newspapers;;
other vegetables;whole milk;yogurt;domestic eggs;bottled water
whole milk;;;;
beef;tropical fruit;herbs;whole milk;curd
sausage;rolls/buns;;;
soda;;;;
fruit/vegetable juice;long life bakery product;;;
rolls/buns;coffee;long life bakery product;detergent;shopping bags
pip fruit;whole milk;bottled water;candy;
frozen vegetables;bottled beer;liquor (appetizer);chewing gum;napkins
beverages;;;;
hamburger meat;root vegetables;other vegetables;domestic eggs;roll products 
root vegetables;other vegetables;whole milk;yogurt;fruit/vegetable juice
canned beer;;;;
frozen vegetables;bottled beer;;;
canned beer;;;;
newspapers;;;;
rolls/buns;;;;
hamburger meat;UHT-milk;salty snack;;
pip fruit;whole milk;curd;rum;
canned beer;;;;
grapes;root vegetables;frozen vegetables;domestic eggs;white wine
root vegetables;packaged fruit/vegetables;butter;whipped/sour cream;rolls/buns
citrus fruit;frozen vegetables;rolls/buns;canned beer;salty snack
cling film/bags;pot plants;;;
frankfurter;whole milk;rolls/buns;margarine;baking powder
whole milk;red/blush wine;;;
pork;tropical fruit;whole milk;curd;yogurt
chicken;pastry;;;
sausage;dish cleaner;dishes;;
specialty bar;;;;
whipped/sour cream;pastry;specialty bar;;
root vegetables;brown bread;;;
rolls/buns;soda;;;
other vegetables;bottled beer;red/blush wine;;
citrus fruit;tropical fruit;berries;root vegetables;other vegetables
whole milk;processed cheese;brown bread;pastry;soda
frankfurter;sausage;tropical fruit;root vegetables;whole milk
coffee;long life bakery product;;;
ham;rolls/buns;white wine;;
canned beer;;;;
canned beer;;;;
canned beer;;;;
pip fruit;whole milk;canned fish;;
pork;pip fruit;other vegetables;whole milk;curd
soap;;;;
pip fruit;butter;frozen meals;pasta;bottled water
beef;hamburger meat;citrus fruit;whole milk;mustard
sausage;meat;other vegetables;whole milk;yogurt
frozen chicken;;;;
soda;;;;
tropical fruit;curd;yogurt;rolls/buns;brown bread
other vegetables;;;;
beef;citrus fruit;curd;rolls/buns;oil
meat;pork;beef;citrus fruit;root vegetables
meat;hamburger meat;root vegetables;packaged fruit/vegetables;whole milk
bottled water;soda;red/blush wine;long life bakery product;newspapers
rolls/buns;;;;
pastry;canned beer;;;
pork;whole milk;pastry;sauces;
pip fruit;sliced cheese;pastry;white wine;light bulbs
beef;citrus fruit;tropical fruit;yogurt;UHT-milk
beef;citrus fruit;berries;brown bread;sugar
rolls/buns;spices;;;
citrus fruit;tropical fruit;herbs;whole milk;butter
meat;beef;herbs;whole milk;frozen dessert
beverages;pastry;bottled water;;
beef;citrus fruit;other vegetables;rolls/buns;
ham;whole milk;white bread;margarine;hair spray
hamburger meat;whole milk;oil;ketchup;soups
beef;citrus fruit;other vegetables;butter milk;sliced cheese
beef;citrus fruit;whole milk;domestic eggs;rolls/buns
root vegetables;whole milk;detergent;;
citrus fruit;tropical fruit;grapes;other vegetables;frozen vegetables
yogurt;bottled water;;;
tropical fruit;root vegetables;other vegetables;whipped/sour cream;brown bread
frankfurter;root vegetables;newspapers;;
beef;other vegetables;whole milk;brown bread;pastry
shopping bags;;;;
canned beer;;;;
rolls/buns;canned beer;;;
other vegetables;rolls/buns;meat spreads;bottled water;soda
hamburger meat;other vegetables;yogurt;rolls/buns;bottled water
hamburger meat;citrus fruit;root vegetables;rolls/buns;Instant food products
frankfurter;sausage;domestic eggs;soda;chewing gum
bottled beer;;;;
tropical fruit;domestic eggs;rolls/buns;pastry;
soda;;;;
frankfurter;root vegetables;onions;other vegetables;white bread
chicken;hamburger meat;herbs;whipped/sour cream;soups
coffee;soda;;;
whole milk;;;;
margarine;;;;
tropical fruit;other vegetables;;;
meat;other vegetables;;;
cream cheese ;bottled water;canned beer;;
newspapers;;;;
rolls/buns;pastry;newspapers;;
citrus fruit;other vegetables;whole milk;curd;yogurt
whole milk;rolls/buns;detergent;;
frankfurter;citrus fruit;butter milk;UHT-milk;rolls/buns
ham;other vegetables;butter;whipped/sour cream;sugar
frankfurter;citrus fruit;bottled beer;salty snack;
sausage;onions;curd;yogurt;domestic eggs
domestic eggs;;;;
whole milk;domestic eggs;rolls/buns;soda;
rolls/buns;bottled beer;newspapers;;
whole milk;hard cheese;chocolate marshmallow;;
sausage;root vegetables;other vegetables;rolls/buns;soda
curd;butter milk;yogurt;beverages;
bottled water;;;;
beef;;;;
frankfurter;hamburger meat;whole milk;rolls/buns;potato products
chicken;butter;newspapers;;
sausage;meat;tropical fruit;pip fruit;pastry
pork;whole milk;whipped/sour cream;beverages;
yogurt;pastry;coffee;;
whole milk;sliced cheese;margarine;cat food;detergent
frankfurter;ham;whole milk;yogurt;rolls/buns
beef;whole milk;brown bread;specialty chocolate;newspapers
pip fruit;other vegetables;butter milk;cream cheese ;rolls/buns
sausage;whole milk;rolls/buns;coffee;chocolate
pastry;coffee;;;
chicken;beef;specialty chocolate;;
root vegetables;other vegetables;whole milk;sliced cheese;frozen vegetables
whole milk;frozen meals;rolls/buns;;
detergent;;;;
rolls/buns;canned fish;;;
house keeping products;;;;
yogurt;salt;jam;sparkling wine;cleaner
tropical fruit;curd;sliced cheese;rolls/buns;soda
tropical fruit;;;;
curd;UHT-milk;artif. sweetener;dental care;
beef;berries;onions;rolls/buns;
whole milk;brown bread;pasta;margarine;bottled water
pork;UHT-milk;bottled water;soda;canned beer
other vegetables;curd;yogurt;curd cheese;margarine
rolls/buns;soda;fruit/vegetable juice;canned beer;white wine
frankfurter;pip fruit;whole milk;rolls/buns;roll products 
yogurt;hygiene articles;newspapers;shopping bags;
whole milk;curd;sliced cheese;cat food;coffee
bottled water;candy;;;
frankfurter;beef;butter;;
rolls/buns;soda;snack products;shopping bags;
whole milk;pastry;bottled water;hygiene articles;
rolls/buns;;;;
chicken;onions;other vegetables;whole milk;brown bread
tropical fruit;onions;whole milk;butter;dishes
sausage;turkey;other vegetables;yogurt;brown bread
sausage;other vegetables;whole milk;curd;hard cheese
frankfurter;citrus fruit;pastry;margarine;ready soups
UHT-milk;frozen dessert;fruit/vegetable juice;decalcifier;newspapers
rolls/buns;newspapers;;;
canned beer;;;;
yogurt;specialty bar;;;
whipped/sour cream;specialty bar;;;
rolls/buns;canned beer;;;
rolls/buns;;;;
beverages;rolls/buns;;;
rolls/buns;;;;
rolls/buns;shopping bags;;;
bottled beer;;;;
citrus fruit;curd;yogurt;sliced cheese;rolls/buns
bottled water;soda;;;
pastry;;;;
domestic eggs;rolls/buns;pastry;coffee;candles
beef;pip fruit;root vegetables;rolls/buns;margarine
spread cheese;rolls/buns;bottled water;newspapers;
tropical fruit;spread cheese;rolls/buns;soda;
packaged fruit/vegetables;canned beer;candles;;
whole milk;yogurt;bottled beer;white wine;salty snack
meat;beef;other vegetables;whole milk;butter
onions;whole milk;bottled beer;liquor (appetizer);detergent
frankfurter;grapes;other vegetables;butter milk;UHT-milk
beef;rolls/buns;bottled beer;;
beef;;;;
sausage;bottled beer;liquor (appetizer);;
chicken;onions;herbs;hygiene articles;
canned beer;;;;
sausage;root vegetables;other vegetables;whole milk;bottled beer
tropical fruit;whole milk;curd;yogurt;whipped/sour cream
frankfurter;rolls/buns;soda;abrasive cleaner;newspapers
sausage;tropical fruit;semi-finished bread;;
beef;tropical fruit;root vegetables;yogurt;
tropical fruit;pastry;flour;rum;
yogurt;;;;
